Bill_ID,Bill_Title,Category,Contributor_Name,Stellar_Wallet_Address,Amount_XLM,Amount_PHP_Equiv,Payment_Method,Status,Date_UTC,Transaction_Hash
1046,Robotics Lab Sensor Hardware,Engineering Lab,Mark Antonio,GAV26KLM00UU25LM88FG01PQR34TUVWXYZ1234567890ABCDEFGH,75.00,483.75,Freighter (Gasless),Settled,2026-08-13 11:00:08,9e5f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f
1046,Robotics Lab Sensor Hardware,Engineering Lab,Katrina Ocampo,GBW37NOP11VV36NO99GH12PQR34TUVWXYZ1234567890ABCDEFGH,75.00,483.75,Freighter (Gasless),Settled,2026-08-13 11:48:33,0f6a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a
1047,Graduation Dinner & Afterparty,Celebration & Event,Jerome Bautista,GCX48QRS22WW47PQ00IJ23PQR34TUVWXYZ1234567890ABCDEFGH,35.00,225.75,Freighter (Gasless),Settled,2026-08-15 16:30:19,1a7b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b
1047,Graduation Dinner & Afterparty,Celebration & Event,Stephanie Valenzuela,GDY59TUV33XX58RS11JK34PQR34TUVWXYZ1234567890ABCDEFGH,35.00,225.75,Freighter (Gasless),Settled,2026-08-15 17:15:40,2b8c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c
1047,Graduation Dinner & Afterparty,Celebration & Event,Justin Tolentino,GAZ60WXY44YY69TU22LM45PQR34TUVWXYZ1234567890ABCDEFGH,35.00,225.75,Freighter (Gasless),Settled,2026-08-15 18:02:11,3c9d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d
1047,Graduation Dinner & Afterparty,Celebration & Event,Roxanne Domingo,GB071ZAB55ZZ70VW33MN56PQR34TUVWXYZ1234567890ABCDEFGH,35.00,225.75,Freighter (Gasless),Settled,2026-08-15 18:45:50,4d0e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e
1047,Graduation Dinner & Afterparty,Celebration & Event,Eric Fernandez,GC182BCD66AA81XY44NO67PQR34TUVWXYZ1234567890ABCDEFGH,35.00,225.75,Freighter (Gasless),Settled,2026-08-15 19:30:22,5e1f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f
1047,Graduation Dinner & Afterparty,Celebration & Event,Clarisse Santiago,GD293EFG77BB92ZA55OP78PQR34TUVWXYZ1234567890ABCDEFGH,35.00,225.75,Freighter (Gasless),Settled,2026-08-15 20:10:05,6f2a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a
1048,Devcon Manila Student Delegation,Conference Travel,Adrian Soriano,GA304HIJ88CC03BC66PQ89PQR34TUVWXYZ1234567890ABCDEFGH,60.00,387.00,Freighter (Gasless),Settled,2026-08-17 08:45:10,7a3b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b
1048,Devcon Manila Student Delegation,Conference Travel,Kimberly Sy,GB415KLM99DD14DE77RS90PQR34TUVWXYZ1234567890ABCDEFGH,60.00,387.00,Freighter (Gasless),Settled,2026-08-17 09:30:25,8b4c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c
1048,Devcon Manila Student Delegation,Conference Travel,Nathaniel Ramos,GC526NOP00EE25FG88TU01PQR34TUVWXYZ1234567890ABCDEFGH,60.00,387.00,Freighter (Gasless),Settled,2026-08-17 10:14:02,9c5d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d
1048,Devcon Manila Student Delegation,Conference Travel,Geline Cortez,GD637QRS11FF36HI99VW12PQR34TUVWXYZ1234567890ABCDEFGH,60.00,387.00,Freighter (Gasless),Settled,2026-08-17 11:00:55,0d6e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e
1048,Devcon Manila Student Delegation,Conference Travel,Paolo Alcantara,GA748TUV22GG47JK00XY23PQR34TUVWXYZ1234567890ABCDEFGH,60.00,387.00,Freighter (Gasless),Settled,2026-08-17 11:45:30,1e7f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f
1049,FEU Tech Hackathon Cloud Credits,Developer Tools,Tristan Ilagan,GB859WXY33HH58LM11ZA34PQR34TUVWXYZ1234567890ABCDEFGH,20.00,129.00,Freighter (Gasless),Settled,2026-08-18 13:20:18,2f8a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a
1049,FEU Tech Hackathon Cloud Credits,Developer Tools,Janelle Pineda,GC960ZAB44II69NO22BC45PQR34TUVWXYZ1234567890ABCDEFGH,20.00,129.00,Freighter (Gasless),Settled,2026-08-18 14:05:42,3a9b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b
1049,FEU Tech Hackathon Cloud Credits,Developer Tools,Bryan Villamor,GD071BCD55JJ70PQ33DE56PQR34TUVWXYZ1234567890ABCDEFGH,20.00,129.00,Freighter (Gasless),Settled,2026-08-18 14:50:00,4b0c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c
1049,FEU Tech Hackathon Cloud Credits,Developer Tools,Dianne Macaraig,GA182EFG66KK81RS44FG67PQR34TUVWXYZ1234567890ABCDEFGH,20.00,129.00,Freighter (Gasless),Settled,2026-08-18 15:35:19,5c1d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d
1049,FEU Tech Hackathon Cloud Credits,Developer Tools,Kyle Tanada,GB293HIJ77LL92TU55HI78PQR34TUVWXYZ1234567890ABCDEFGH,20.00,129.00,Freighter (Gasless),Settled,2026-08-18 16:15:55,6d2e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e
1050,Mapua UI/UX Design Workshop Licenses,Software & Tools,Louise Cardenas,GC304KLM88MM03VW66JK89PQR34TUVWXYZ1234567890ABCDEFGH,45.00,290.25,Freighter (Gasless),Settled,2026-08-19 09:10:30,7e3f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f
1050,Mapua UI/UX Design Workshop Licenses,Software & Tools,Marco Gabriel,GD415NOP99NN14XY77LM90PQR34TUVWXYZ1234567890ABCDEFGH,45.00,290.25,Freighter (Gasless),Settled,2026-08-19 10:02:15,8f4a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a
1050,Mapua UI/UX Design Workshop Licenses,Software & Tools,Celine Arceo,GA526QRS00OO25ZA88NO01PQR34TUVWXYZ1234567890ABCDEFGH,45.00,290.25,Freighter (Gasless),Settled,2026-08-19 10:48:40,9a5b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b
1050,Mapua UI/UX Design Workshop Licenses,Software & Tools,Sean Beltran,GB637TUV11PP36BC99PQ12PQR34TUVWXYZ1234567890ABCDEFGH,45.00,290.25,Freighter (Gasless),Settled,2026-08-19 11:35:05,0b6c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c
1051,Adamson Esports Team Jersey Fund,Student Sports,Kurt Villanueva,GC748WXY22QQ47DE00RS23PQR34TUVWXYZ1234567890ABCDEFGH,30.00,193.50,Freighter (Gasless),Settled,2026-08-20 13:00:12,1c7d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d
1051,Adamson Esports Team Jersey Fund,Student Sports,Maeve Alcantara,GD859ZAB33RR58FG11TU34PQR34TUVWXYZ1234567890ABCDEFGH,30.00,193.50,Freighter (Gasless),Settled,2026-08-20 13:45:50,2d8e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e
1051,Adamson Esports Team Jersey Fund,Student Sports,Dominic Sison,GA960BCD44SS69HI22VW45PQR34TUVWXYZ1234567890ABCDEFGH,30.00,193.50,Freighter (Gasless),Settled,2026-08-20 14:30:20,3e9f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f
1051,Adamson Esports Team Jersey Fund,Student Sports,Bianca Soriano,GB071EFG55TT70JK33XY56PQR34TUVWXYZ1234567890ABCDEFGH,30.00,193.50,Freighter (Gasless),Settled,2026-08-20 15:15:00,4f0a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a
1051,Adamson Esports Team Jersey Fund,Student Sports,Leo Magpantay,GC182HIJ66UU81LM44ZA67PQR34TUVWXYZ1234567890ABCDEFGH,30.00,193.50,Freighter (Gasless),Settled,2026-08-20 16:00:15,5a1b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b
1052,PUP Web3 Study Hub Starlink & Catering,Community Meetup,Rhea Manalo,GD293KLM77VV92NO55BC78PQR34TUVWXYZ1234567890ABCDEFGH,25.00,161.25,Freighter (Gasless),Settled,2026-08-20 17:10:45,6b2c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c
1052,PUP Web3 Study Hub Starlink & Catering,Community Meetup,Patrick Dionisio,GA304NOP88WW03PQ66DE89PQR34TUVWXYZ1234567890ABCDEFGH,25.00,161.25,Freighter (Gasless),Settled,2026-08-20 17:50:30,7c3d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d
1052,PUP Web3 Study Hub Starlink & Catering,Community Meetup,Karen Balingit,GB415QRS99XX14RS77FG90PQR34TUVWXYZ1234567890ABCDEFGH,25.00,161.25,Freighter (Gasless),Settled,2026-08-20 18:35:10,8d4e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e
1052,PUP Web3 Study Hub Starlink & Catering,Community Meetup,Dexter Ramos,GC526TUV00YY25TU88HI01PQR34TUVWXYZ1234567890ABCDEFGH,25.00,161.25,Freighter (Gasless),Settled,2026-08-20 19:20:00,9e5f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f
